ID,D,Rockfraction,S,FractionSand,Sand%,Texture,Texture2,fr
2C20_2,0.0083631,6.259000181,92.36024845,0.067767251,6.776725145,Silt,93.22327485,0.067767251
2C20_2,0.005983753,5.797081348,92.36024845,0.062765978,6.276597828,Silt,93.72340217,0.062765978
2C20_2,0.00161603,4.873243683,92.36024845,0.052763432,5.276343194,Clay,94.72365681,0.052763432
2C20_2,0.001220941,4.862989085,92.36024845,0.052652404,5.265240368,Clay,94.73475963,0.052652404
2C20_2,0.001119615,4.651060725,92.36024845,0.05035782,5.035781955,Clay,94.96421805,0.05035782
2C20_2,0.001226147,4.295845143,92.36024845,0.04651184,4.651184048,Clay,95.34881595,0.04651184
2C20_2,0.000913986,4.295845143,92.36024845,0.04651184,4.651184048,Clay,95.34881595,0.04651184
2A20_2,2,99.28673324,99.28673324,1,100,Sand,0,1
2A20_2,1,90.79885877,99.28673324,0.914511494,91.45114943,Sand,8.548850575,0.914511494
2A20_2,0.5,82.59629101,99.28673324,0.831896552,83.18965517,Sand,16.81034483,0.831896552
2A20_2,0.25,65.19258203,99.28673324,0.656609195,65.66091954,Sand,34.33908046,0.656609195
2A20_2,0.15,47.71754636,99.28673324,0.480603448,48.06034483,Sand,51.93965517,0.480603448
2A20_2,0.045300295,26.67502606,99.28673324,0.26866657,26.866657,Silt,73.133343,0.26866657
2A20_2,0.03253966,23.00444557,99.28673324,0.231697074,23.16970739,Silt,76.83029261,0.231697074
2A20_2,0.029149087,21.16915533,99.28673324,0.213212326,21.32123259,Silt,78.67876741,0.213212326
2A20_2,0.026412724,20.25151021,99.28673324,0.203969952,20.39699519,Silt,79.60300481,0.203969952
2A20_2,0.021815224,18.41621996,99.28673324,0.185485204,18.54852039,Silt,81.45147961,0.185485204
2A20_2,0.016607008,16.08430018,99.28673324,0.161998483,16.19984831,Silt,83.80015169,0.161998483
2A20_2,0.015015148,14.95761549,99.28673324,0.150650696,15.06506963,Silt,84.93493037,0.150650696
2A20_2,0.011751661,14.03997037,99.28673324,0.141408322,14.14083223,Silt,85.85916777,0.141408322
2A20_2,0.008372866,12.20468013,99.28673324,0.122923574,12.29235743,Silt,87.70764257,0.122923574
2A20_2,0.006004786,10.59880116,99.28673324,0.10674942,10.67494198,Silt,89.32505802,0.10674942
2A20_2,0.001597919,8.763510918,99.28673324,0.088264672,8.826467175,Clay,91.17353282,0.088264672
2A20_2,0.00121905,8.743139197,99.28673324,0.088059491,8.805949105,Clay,91.1940509,0.088059491
2A20_2,0.001111595,8.322123615,99.28673324,0.08381909,8.381908985,Clay,91.61809101,0.08381909
2A20_2,0.00105162,7.825494074,99.28673324,0.078817117,7.881711704,Clay,92.1182883,0.078817117
2A20_2,0.000785871,7.404478492,99.28673324,0.074576716,7.457671585,Clay,92.54232842,0.074576716
3720_2,2,96.37010676,96.37010676,1,100,Sand,0,1
3720_2,1,75.3024911,96.37010676,0.781388479,78.13884786,Sand,21.86115214,0.781388479
3720_2,0.5,50.74733096,96.37010676,0.526587888,52.65878877,Sand,47.34121123,0.526587888
3720_2,0.25,26.47686833,96.37010676,0.274741507,27.47415066,Sand,72.52584934,0.274741507
3720_2,0.15,14.3772242,96.37010676,0.149187592,14.91875923,Sand,85.08124077,0.149187592
3720_2,0.049001551,9.322361315,96.37010676,0.09673499,9.673499001,Silt,90.326501,0.09673499
3720_2,0.035268116,8.476642244,96.37010676,0.087959249,8.795924928,Silt,91.20407507,0.087959249
3720_2,0.029045619,8.194735887,96.37010676,0.085034002,8.503400237,Silt,91.49659976,0.085034002
3720_2,0.026496353,7.91282953,96.37010676,0.082108755,8.210875547,Silt,91.78912445,0.082108755
3720_2,0.018545251,6.920801061,96.37010676,0.071814812,7.18148116,Silt,92.81851884,0.071814812
3720_2,0.014495689,6.356988347,96.37010676,0.065964318,6.596431778,Silt,93.40356822,0.065964318
3720_2,0.011109875,6.07508199,96.37010676,0.063039071,6.303907087,Silt,93.69609291,0.063039071
3720_2,0.008189011,5.35622078,96.37010676,0.055579691,5.557969126,Silt,94.44203087,0.055579691
3720_2,0.005791023,4.947456563,96.37010676,0.051338083,5.133808324,Silt,94.86619168,0.051338083
3720_2,0.001560684,3.537924778,96.37010676,0.036711849,3.67118487,Clay,96.32881513,0.036711849
3720_2,0.001354153,3.467448189,96.37010676,0.035980537,3.598053697,Clay,96.4019463,0.035980537
3720_2,0.001076635,3.402327821,96.37010676,0.035304805,3.530480494,Clay,96.46951951,0.035304805
3720_2,0.001030905,3.2497601,96.37010676,0.033721661,3.372166131,Clay,96.62783387,0.033721661
3720_2,0.000767237,3.120421464,96.37010676,0.032379558,3.237955803,Clay,96.7620442,0.032379558
4A20_1,2,85.40145985,85.40145985,1,100,Sand,0,1
4A20_1,1,67.29927007,85.40145985,0.788034188,78.8034188,Sand,21.1965812,0.788034188
4A20_1,0.5,49.05109489,85.40145985,0.574358974,57.43589744,Sand,42.56410256,0.574358974
4A20_1,0.25,29.6350365,85.40145985,0.347008547,34.7008547,Sand,65.2991453,0.347008547
4A20_1,0.15,18.17518248,85.40145985,0.212820513,21.28205128,Sand,78.71794872,0.212820513
4A20_1,0.055227819,15.1997463,85.40145985,0.177979935,17.79799353,Sand,82.20200647,0.177979935
4A20_1,0.025604336,14.1409978,85.40145985,0.165582624,16.55826238,Silt,83.44173762,0.165582624
4A20_1,0.025598058,13.08224931,85.40145985,0.153185312,15.31853124,Silt,84.68146876,0.153185312
4A20_1,0.023942598,12.72933314,85.40145985,0.149052875,14.90528753,Silt,85.09471247,0.149052875
4A20_1,0.022270852,12.37641698,85.40145985,0.144920438,14.49204381,Silt,85.50795619,0.144920438
4A20_1,0.017870641,10.34044363,85.40145985,0.121080408,12.10804083,Silt,87.89195917,0.121080408
4A20_1,0.014727857,9.369924173,85.40145985,0.109716206,10.97162061,Silt,89.02837939,0.109716206
4A20_1,0.010353732,8.311175679,85.40145985,0.097318895,9.73188947,Silt,90.26811053,0.097318895
4A20_1,0.007846448,7.958259514,85.40145985,0.093186458,9.318645756,Silt,90.68135424,0.093186458
4A20_1,0.005703275,7.252427184,85.40145985,0.084921583,8.492158327,Silt,91.50784167,0.084921583
4A20_1,0.001570264,4.782014032,85.40145985,0.055994523,5.599452328,Clay,94.40054767,0.055994523
4A20_1,0.001204901,4.774179293,85.40145985,0.055902783,5.590278317,Clay,94.40972168,0.055902783
4A20_1,0.001098785,4.259345192,85.40145985,0.049874384,4.987438387,Clay,95.01256161,0.049874384
4A20_1,0.001049911,4.068346963,85.40145985,0.047637909,4.763790889,Clay,95.23620911,0.047637909
4A20_1,0.00077561,3.906429027,85.40145985,0.045741947,4.574194673,Clay,95.42580533,0.045741947
12A20_1,2,93.50887936,93.50887936,1,100,Sand,0,1
12A20_1,1,81.62890386,93.50887936,0.872953504,87.29535036,Sand,12.70464964,0.872953504
12A20_1,0.5,54.86834048,93.50887936,0.586771447,58.67714473,Sand,41.32285527,0.586771447
12A20_1,0.25,23.45376607,93.50887936,0.250818599,25.08185986,Sand,74.91814014,0.250818599
12A20_1,0.15,11.75750153,93.50887936,0.125736739,12.57367387,Sand,87.42632613,0.125736739
12A20_1,0.048558089,7.777986789,93.50887936,0.083179125,8.317912526,Silt,91.68208747,0.083179125
12A20_1,0.038253643,6.864782787,93.50887936,0.073413165,7.341316497,Silt,92.6586835,0.073413165
12A20_1,0.033214936,6.408180786,93.50887936,0.068530185,6.853018483,Silt,93.14698152,0.068530185
12A20_1,0.029292821,6.408180786,93.50887936,0.068530185,6.853018483,Silt,93.14698152,0.068530185
12A20_1,0.022974351,5.951578785,93.50887936,0.063647205,6.364720468,Silt,93.63527953,0.063647205
12A20_1,0.018542948,5.148187564,93.50887936,0.055055601,5.505560112,Silt,94.49443989,0.055055601
12A20_1,0.014818456,4.919886563,93.50887936,0.052614111,5.261411105,Silt,94.7385889,0.052614111
12A20_1,0.011464015,4.691585562,93.50887936,0.050172621,5.017262098,Silt,94.9827379,0.050172621
12A20_1,0.008096851,4.463284562,93.50887936,0.047731131,4.773113091,Silt,95.22688691,0.047731131
